,0
somtom-titanic-random-icebergs,0.725
andrecn-random-forest-caret-model-prediction-titanic,0.761
pavani2018-titanicr-random-forests,0.751
dleprovost-simple-titanic-exploration,0.763
wtjw1993-predicting-survival-on-the-titanic,0.754
qianbi-titanic-voting,0.734
venkatko-titanic-survival1,0.744
daiearth22-exploring-survival-on-the-titanic,0.744
naomi7-survival-on-the-titanic,0.737
econdata-machine-learning-on-titanic-dataset,0.756
waithira-titanic-analysis-with-r,0.761
orbanjan-exploring-survival-on-the-titanic-new,0.744
karnakarthoorpu-titanicanalysis-r,0.648
lizpund-titanic-competition-kernel,0.756
bubblride-titanic-e1071-c-svc-fares-only,0.667
imendoza-titanic-rf-prediction,0.763
suraj915-titanic-suraj,0.763
benybrahim-best-titanic-benchmark,0.754
sherrywangjy-titanic-machine-learning-from-disaster,0.756
virgodata-exploring-survival-on-the-titanic,0.744
zhxiangxyang-titanic,0.756
loveautumnlan-exploratoryanalysis-prediction-titanic,0.763
ammara-titanic-competition-script-using-rf-2,0.749
mihaque313-first-submission-to-titanic-problem,0.744
vyordanov-titanic-disaster-logistic-regression-0-7655,0.749
jww001-exploring-survival-on-the-titanicqw,0.737
petenice-titanickernel,0.567
adambarnes-titanic-first-random-forest,0.758
skhawaja-titanic-disaster-survival-099,0.742
jkevin2010-improved-model-for-titanic-survival,0.754
athi94-a-beginner-s-stab-at-titanic,0.754
kronprinserik-exploring-survival-on-the-titanic,0.734
sandraezidiegwu-exploratoryanalysis-prediction-titanic,0.744
ashutoshds-titanic-rf-prediction-0-81818,0.763
prachimalusare-exploring-survival-on-the-titanic,0.744
nrutyam-predictions-on-titanic,0.758
neveldo-titanic-eda-predictions-attempt,0.742
djohnbar-the-titanic-using-knn,0.763
rmenendezm-exploring-survival-on-the-titanic,0.744
liudj2008-titanic,0.761
sidhere-exploring-survival-on-the-titanic,0.744
tsfitz-titanic,0.766
bluemachine-predicting-chances-of-survival-on-the-titanic,0.548
chemalytics-exploring-survival-on-the-titanic,0.744
sausen7-titanic-first-kernel,0.773
lokesharun-titanic,0.758
bdcallen-titanic-knn-r,0.763
vikramatjob-exploring-survival-on-the-titanic-var1,0.744
liwenhuang-titanic-logistic-tree-rf,0.744
shashank74-titanic-disaster-data-exploration-and-modelling,0.754
cbrioso-titanic-rf,0.773
hegdekarthik-titanic-prediction-beginner-level-decision-tree,0.758
maza91-titanic-logistic-regression,0.749
z888888861-exploring-survival-on-the-titanic,0.744
chauhanheta-exploring-survival-on-the-titanic,0.744
trvrmgn-exploring-survival-on-the-titanic,0.744
samuelh-barebones-titanic-logistic-regression-test,0.734
anishmayaramka-the-titanic-problem,0.744
rjhere23-predictive-analysis-of-survival-rate-on-titanic,0.758
qianbi-titanic-rpart-3,0.763
maitree-titanic-survival-list-using-random-forest,0.483
utkarsh1997-kaggle-titanic-rf,0.763
birudvora-test-titanic,0.744
windowbyryeol-kernel-titanic,0.763
jnrahul92-titanic-analysis-using-logistic-regression,0.749
srinivasarajui-srini-s-r-titanic-solution,0.758
vishaljindal0-titanic-r-code,0.756
hemantkhurana-exploring-survival-on-the-titanic,0.744
mailakshdeep-titanic-survival-prediction-r,0.751
analyticsdojo-titanic-baseline-models-analyticsdojo-r,0.648
jasminegoel-playing-with-titanic-dataset-r,0.732
sudheer464-prediction-1-on-titanic-dataset,0.648
giannismo-exploring-survival-on-the-titanic,0.744
aravind5-titanic,0.751
rhyando-r-embulan-titanic,0.722
brirush-titanic-nearest-neighbor-using-squared-correlation,0.734
macrosp-logistic-regression-titanic-dataset,0.737
hemingwei-titanic-r-solution-from-megan-risdal,0.744
ravihela-titanic-survival,0.758
haroldzhang-exploring-survival-on-the-titanic,0.749
mrisdal-exploring-survival-on-the-titanic,0.744
ep1804-titanic-survival,0.746
mtknowlt-exploring-survival-on-the-titanic,0.744
mustfkeskin-titanic-xgboost,0.749
parthchaudhary-titanic-submission,0.746
jacekpardyak-mytitanicscript,0.55
lucasantevere-hello-titanic,0.758
salomao2005-titanic-new-view,0.766
qianbi-titanic-logistic,0.737
qianbi-titanic-rpart-2,0.763
researchbigd-titanic-forkedfrommeganscript,0.734
annafreydenzon-titanic-machine-learning-from-disaster,0.746
rajasekara-titanic-survival-prediction,0.763
nibedita84-my-first-kernel-titanic-survival-rate,0.756
monfilier-titanic-survival-prediction,0.744
jenioai-exploring-survival-on-the-titanic,0.744
quentinalais-kerneltitanicquentin,0.749
sociopath00-sociopath-titanic,0.763
chuckivan-titanic-logit,0.742
gauravsatav-exploring-survival-on-the-titanic,0.744
ludejun-exploring-survival-on-the-titanic,0.744
yizhouwang-exploring-survival-on-the-titanic,0.744
tetyama-trial-titanic,0.744
harsh2-exploring-the-titanic-dataset,0.778
vishnusaiv-titanic-data-analysis,0.761
yugrao-titanic-n,0.744
binilkuriachan-titanic-random-forest,0.756
yugrao-titanic2,0.751
qianbi-titanic-rpart,0.761
rhyando-r-embulan-titanic-notebook,0.722
yugrao-titanic,0.751
dascanvas-titanic-random-forest,0.766
arfinul-exploring-survival-on-the-titanicc,0.744
lagprophet-titanic,0.758
seshadrikolluri-predicting-survival-on-titanic,0.763
arunkumarramanan-data-science-in-r-and-titanic-survival-prediction,0.744
beiqiwang-predictive-analysis-of-survival-rate-on-titanic,0.758
fermm92-exploring-survival-on-the-titanic,0.744
brirush-logistic-regression-for-titanic,0.754
swatishukla-exploring-survival-on-the-titanic,0.744
nefise-exploring-survival-on-the-titanic,0.744
juverstraeten-titanic-test-5-decision-tree-w-cabin,0.763
xliang-titanic-survival-prediction,0.749
liudj2008-fork-of-titanic,0.761
curtaincall-exploring-survival-on-the-titanic,0.744
gpellis-exploring-survival-on-the-titanic-with-r-notebook,0.744
waiyujack-titanic-random-search-in-r,0.744
tomaszw-predictive-analysis-of-survival-rate-on-titanic,0.758
allanwbrooks-exploring-survival-on-the-titanic,0.751
phubert-mackenzie-bigdata-titanic-knn,0.574
peggy88-titanic-data-eda-by-peggy,0.758
arjunrampal-titanic-eda-rf,0.742
tabouzid-exploring-survival-on-the-titanic,0.744
archeryue-exploring-survival-on-the-titanic,0.744
gravitymhxy2-titanic,0.763
rennocks-titanicmodel,0.744
iherbert-titanic,0.751
bryan1201-exploring-survival-on-the-titanic-by-bryan1201,0.744
chemjong-titanic-survival-prediction,0.758
scout16-titanic-disaster-in-r,0.744
rtreit-kaggle-titanic-tutorial,0.773
haojianfeng-titanic-passenger-survival-forecast-r,0.763
piyushjhamb-predicting-titanic-survival,0.737
xxxmatxxx-titanic-getting-started-with-randomforest,0.744
shridhar1991-randomforest-implementation-of-titanic,0.77
rafaelmdourado-hello-titanic-programmers,0.758
contactsheetal-exploring-survival-on-the-titanic,0.744
c34klh123-using-svm-to-predict-titanic-in-r,0.758
hongviet2002-exploring-survived-on-titanic,0.751
kyanyoga-exploring-survival-on-the-titanic,0.744
kapillehar-titanic-rf-prediction-0-81818,0.763
libra202ma-exploring-survival-on-the-titanic,0.744
kunaphas-predictive-analysis-of-survival-rate-on-titanic,0.758
birger-titanic-competition-score-0-8134,0.761
diegosiebra-rf-titanic-prediction-th3one,0.761
hertan-titanic-surviving-dataset-simple-expression,0.761
dheerajgoudborlla-exploring-survival-on-the-titanic,0.744
erikbruin-titanic-2nd-degree-families-and-majority-voting,0.797
mira5b-exploring-survival-on-the-titanic,0.744
jkevin2010-titanic-survival-using-decision-trees,0.758
harryem-titanic-comparing-two-approaches-for-missing-data,0.529
chuanhuiliu-one-solution-to-titanic-survival-analysis,0.761
dineshary-exploring-survival-on-the-titanic,0.744
mullayilkannan-randomforest-with-knn-imputation-titanic,0.768
pantelisvlachas-exploring-survival-on-the-titanic,0.744
djohnbar-titanic-rf,0.766
tessacooper-exploring-survival-on-the-titanic3,0.744
efezinoerome-exploring-survival-on-the-titanic,0.744
naveennafee-titanic-survival,0.749
frankfeng-titanic,0.768
phubert-titanic-mackenzie-aula07,0.778
kanhuachary-exploring-survival-on-the-titanic,0.744
byrony-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
hillabehar-titanic-analysis-with-r,0.739
emj777-decision-tree-titanic-r,0.751
foreman3-exploring-survival-on-the-titanic,0.744
gravc91-exploring-survival-on-the-titanic-forked,0.744
mattrb-titanic,0.751
imitation-exploring-survival-on-the-titanic,0.751
vikasht34-titanic-rf-prediction-0-81818,0.763
mac4vity-exploring-survival-on-the-titanic,0.744
jaredcross-simple-regression-titanic,0.744
jeetranjeet619-titanic-xgboost-example-in-r,0.725
pliptor-optimal-titanic-for-gender-only-0-7655,0.744
fpsawicki-eda-and-prediction-on-titanic-dataset,0.746
tessacooper-exploring-survival-on-the-titanic,0.744
ilijaf-titanic,0.763
johngunawan-exploring-survival-on-the-titanic,0.744
mrstepanovic-using-random-forests-to-identify-titanic-survivors,0.758
cnusapbo-titanic-r-code,0.746
ivanbaj-part-2-titanic-encounters-vowpal-wabbit-and-r,0.352
alediator-exploring-survival-on-the-titanic,0.761
artcds-titanic-crisansou-tutorial,0.758
jerlinraj-titanic-machine-learning-from-disaster,0.744
behindthelines-survival-on-the-titanic-with-decision-trees,0.763
pcminers-exploring-survival-on-the-titanic,0.744
aravind5-kaggle-titanic,0.751
anthobau-random-forest-titanic,0.737
maitree-titanic-survival-list-using-classification,0.746
jamcarwal-exploring-survival-on-the-titanic,0.744
devanshugupta27-predicting-the-titanic-survival-rate,0.754
shikharparashar-exploring-survival-on-the-titanic,0.744
phubert-titanic-mackenzie-aula08,0.701
haroldzhang-titanic-ace233,0.77
