,names,accuracies
168,felixhalim-exploring-survival-on-the-titanic,0.744
169,nithishthirmul-titanic-data-test1,0.744
170,beovulfo-titanic-work-for-beginners,0.775
171,aeintngon-titanic-exploratory-analysis,0.751
172,qianbi-titanic-voting-2,0.756
173,anweshaghosh-titanic-forkofmultiplescripts-r,0.763
174,cdeotte-titanic-spam-filter,0.742
175,danr87946-titanic-practice,0.758
176,pliptor-optimal-titanic-for-pclass-only-0-65550,0.699
177,wongalan2002-titanic-with-neural-network,0.713
178,frank5547-my-solution-to-titanic-for-now,0.761
179,phoanghuong86-exploring-survival-on-the-titanic,0.744
180,mchatham-exploring-survival-on-the-titanic01,0.744
181,maza91-titanic-neural-network-try,0.761
182,shridhar1991-exploring-survival-on-the-titanic,0.744
183,karlkonz-exploring-the-titanic-dataset-with-r,0.761
184,atuljjoshi05-titanic-random-forest,0.756
185,ravikrishnareddy-titanic-survival-prediction,0.751
186,bwozniak-titanic-in-r,0.761
187,divy44-titanic1,0.648
188,aer503-svm-for-titanic,0.737
189,tjbaur-exploring-survival-on-the-titanic,0.746
190,qianbi-titanic-svm,0.754
191,nozzo1-my-titanic-r-entry-2,0.754
192,leedongkyu-exploring-survival-on-the-titanic,0.744
193,jasonhit-first-script-for-kaggle-titanic,0.758
194,hisnibs-titanic-enhancing-the-training-data-and-kis,0.78
195,krietallo64-exploring-survival-on-the-titanic,0.744
196,arpitr-titanic-survival,0.751
197,dataninja2014-exploring-survival-on-the-titanic,0.744
198,pradeeptripathi-prediction-of-titanic-survival-using-r,0.751
199,dasbeste-exploring-survival-on-the-titanic,0.744
200,divyasshree-titanic-ml-club,0.713
201,sylphsangeeta-titanic,0.754
202,brirush-svm-for-titanic,0.737
203,msantos68-exploring-survival-on-the-titanic,0.742
204,kasturimitra-titanic,0.758
205,cganxs-is-62-the-right-titanic-model-threshold,0.792
206,srikantjyrmn-titanic-survivor,0.746
207,joelweiss-titanic-data-r,0.751
208,jaimisk-titanic-survival-logistic-regression,0.746
209,monikapeteva-predictive-analysis-of-survival-rate-on-titanic,0.758
210,seajaye-titanic-logistic-regression-0-78947,0.763
211,researchbigd-titanic-r-researchbigd,0.758
212,somtom-titanic-random-icebergs,0.725
213,andrecn-random-forest-caret-model-prediction-titanic,0.761
214,pavani2018-titanicr-random-forests,0.751
215,dleprovost-simple-titanic-exploration,0.763
216,wtjw1993-predicting-survival-on-the-titanic,0.754
217,qianbi-titanic-voting,0.734
218,venkatko-titanic-survival1,0.744
219,daiearth22-exploring-survival-on-the-titanic,0.744
220,naomi7-survival-on-the-titanic,0.737
221,econdata-machine-learning-on-titanic-dataset,0.756
222,waithira-titanic-analysis-with-r,0.761
223,orbanjan-exploring-survival-on-the-titanic-new,0.744
224,karnakarthoorpu-titanicanalysis-r,0.648
225,lizpund-titanic-competition-kernel,0.756
226,bubblride-titanic-e1071-c-svc-fares-only,0.667
227,imendoza-titanic-rf-prediction,0.763
228,suraj915-titanic-suraj,0.763
229,benybrahim-best-titanic-benchmark,0.754
230,sherrywangjy-titanic-machine-learning-from-disaster,0.756
231,virgodata-exploring-survival-on-the-titanic,0.744
232,zhxiangxyang-titanic,0.756
233,loveautumnlan-exploratoryanalysis-prediction-titanic,0.763
234,ammara-titanic-competition-script-using-rf-2,0.749
235,mihaque313-first-submission-to-titanic-problem,0.744
236,vyordanov-titanic-disaster-logistic-regression-0-7655,0.749
237,jww001-exploring-survival-on-the-titanicqw,0.737
238,petenice-titanickernel,0.567
239,adambarnes-titanic-first-random-forest,0.758
240,skhawaja-titanic-disaster-survival-099,0.742
241,jkevin2010-improved-model-for-titanic-survival,0.754
242,athi94-a-beginner-s-stab-at-titanic,0.754
243,kronprinserik-exploring-survival-on-the-titanic,0.734
244,sandraezidiegwu-exploratoryanalysis-prediction-titanic,0.744
245,ashutoshds-titanic-rf-prediction-0-81818,0.763
246,prachimalusare-exploring-survival-on-the-titanic,0.744
247,nrutyam-predictions-on-titanic,0.758
248,neveldo-titanic-eda-predictions-attempt,0.742
249,djohnbar-the-titanic-using-knn,0.763
250,rmenendezm-exploring-survival-on-the-titanic,0.744
251,liudj2008-titanic,0.761
252,sidhere-exploring-survival-on-the-titanic,0.744
253,tsfitz-titanic,0.766
254,bluemachine-predicting-chances-of-survival-on-the-titanic,0.548
255,chemalytics-exploring-survival-on-the-titanic,0.744
256,sausen7-titanic-first-kernel,0.773
257,lokesharun-titanic,0.758
258,bdcallen-titanic-knn-r,0.763
259,vikramatjob-exploring-survival-on-the-titanic-var1,0.744
260,liwenhuang-titanic-logistic-tree-rf,0.744
261,shashank74-titanic-disaster-data-exploration-and-modelling,0.754
262,cbrioso-titanic-rf,0.773
263,hegdekarthik-titanic-prediction-beginner-level-decision-tree,0.758
264,maza91-titanic-logistic-regression,0.749
265,z888888861-exploring-survival-on-the-titanic,0.744
266,chauhanheta-exploring-survival-on-the-titanic,0.744
267,trvrmgn-exploring-survival-on-the-titanic,0.744
268,samuelh-barebones-titanic-logistic-regression-test,0.734
269,anishmayaramka-the-titanic-problem,0.744
270,rjhere23-predictive-analysis-of-survival-rate-on-titanic,0.758
271,qianbi-titanic-rpart-3,0.763
272,maitree-titanic-survival-list-using-random-forest,0.483
273,utkarsh1997-kaggle-titanic-rf,0.763
274,birudvora-test-titanic,0.744
275,windowbyryeol-kernel-titanic,0.763
276,jnrahul92-titanic-analysis-using-logistic-regression,0.749
277,srinivasarajui-srini-s-r-titanic-solution,0.758
278,vishaljindal0-titanic-r-code,0.756
279,hemantkhurana-exploring-survival-on-the-titanic,0.744
280,mailakshdeep-titanic-survival-prediction-r,0.751
281,analyticsdojo-titanic-baseline-models-analyticsdojo-r,0.648
282,jasminegoel-playing-with-titanic-dataset-r,0.732
283,sudheer464-prediction-1-on-titanic-dataset,0.648
284,giannismo-exploring-survival-on-the-titanic,0.744
285,aravind5-titanic,0.751
286,rhyando-r-embulan-titanic,0.722
287,brirush-titanic-nearest-neighbor-using-squared-correlation,0.734
288,macrosp-logistic-regression-titanic-dataset,0.737
289,hemingwei-titanic-r-solution-from-megan-risdal,0.744
290,ravihela-titanic-survival,0.758
291,haroldzhang-exploring-survival-on-the-titanic,0.749
292,mrisdal-exploring-survival-on-the-titanic,0.744
293,ep1804-titanic-survival,0.746
294,mtknowlt-exploring-survival-on-the-titanic,0.744
295,mustfkeskin-titanic-xgboost,0.749
296,parthchaudhary-titanic-submission,0.746
297,jacekpardyak-mytitanicscript,0.55
298,lucasantevere-hello-titanic,0.758
299,salomao2005-titanic-new-view,0.737
300,qianbi-titanic-logistic,0.737
301,qianbi-titanic-rpart-2,0.763
302,researchbigd-titanic-forkedfrommeganscript,0.734
303,annafreydenzon-titanic-machine-learning-from-disaster,0.746
304,rajasekara-titanic-survival-prediction,0.763
305,nibedita84-my-first-kernel-titanic-survival-rate,0.756
306,monfilier-titanic-survival-prediction,0.744
307,jenioai-exploring-survival-on-the-titanic,0.744
308,quentinalais-kerneltitanicquentin,0.749
309,sociopath00-sociopath-titanic,0.763
310,chuckivan-titanic-logit,0.742
311,gauravsatav-exploring-survival-on-the-titanic,0.744
312,ludejun-exploring-survival-on-the-titanic,0.744
313,yizhouwang-exploring-survival-on-the-titanic,0.744
314,tetyama-trial-titanic,0.744
315,harsh2-exploring-the-titanic-dataset,0.778
316,vishnusaiv-titanic-data-analysis,0.761
317,yugrao-titanic-n,0.744
318,binilkuriachan-titanic-random-forest,0.756
319,yugrao-titanic2,0.751
320,qianbi-titanic-rpart,0.761
321,rhyando-r-embulan-titanic-notebook,0.722
322,yugrao-titanic,0.751
323,dascanvas-titanic-random-forest,0.766
324,arfinul-exploring-survival-on-the-titanicc,0.744
325,lagprophet-titanic,0.758
326,seshadrikolluri-predicting-survival-on-titanic,0.763
327,arunkumarramanan-data-science-in-r-and-titanic-survival-prediction,0.744
328,beiqiwang-predictive-analysis-of-survival-rate-on-titanic,0.758
329,fermm92-exploring-survival-on-the-titanic,0.744
330,brirush-logistic-regression-for-titanic,0.754
331,swatishukla-exploring-survival-on-the-titanic,0.744
332,nefise-exploring-survival-on-the-titanic,0.744
333,juverstraeten-titanic-test-5-decision-tree-w-cabin,0.763
334,xliang-titanic-survival-prediction,0.749
335,liudj2008-fork-of-titanic,0.761
336,curtaincall-exploring-survival-on-the-titanic,0.744
337,gpellis-exploring-survival-on-the-titanic-with-r-notebook,0.744
338,waiyujack-titanic-random-search-in-r,0.744
339,tomaszw-predictive-analysis-of-survival-rate-on-titanic,0.758
340,allanwbrooks-exploring-survival-on-the-titanic,0.751
341,phubert-mackenzie-bigdata-titanic-knn,0.574
342,peggy88-titanic-data-eda-by-peggy,0.758
343,arjunrampal-titanic-eda-rf,0.742
344,tabouzid-exploring-survival-on-the-titanic,0.744
345,archeryue-exploring-survival-on-the-titanic,0.744
346,gravitymhxy2-titanic,0.763
347,rennocks-titanicmodel,0.744
348,iherbert-titanic,0.751
349,bryan1201-exploring-survival-on-the-titanic-by-bryan1201,0.744
350,chemjong-titanic-survival-prediction,0.758
351,scout16-titanic-disaster-in-r,0.744
352,rtreit-kaggle-titanic-tutorial,0.773
353,haojianfeng-titanic-passenger-survival-forecast-r,0.763
354,piyushjhamb-predicting-titanic-survival,0.737
355,xxxmatxxx-titanic-getting-started-with-randomforest,0.744
356,shridhar1991-randomforest-implementation-of-titanic,0.77
357,rafaelmdourado-hello-titanic-programmers,0.758
358,contactsheetal-exploring-survival-on-the-titanic,0.744
359,c34klh123-using-svm-to-predict-titanic-in-r,0.758
360,hongviet2002-exploring-survived-on-titanic,0.751
361,kyanyoga-exploring-survival-on-the-titanic,0.744
362,kapillehar-titanic-rf-prediction-0-81818,0.763
363,libra202ma-exploring-survival-on-the-titanic,0.744
364,kunaphas-predictive-analysis-of-survival-rate-on-titanic,0.758
365,birger-titanic-competition-score-0-8134,0.761
366,diegosiebra-rf-titanic-prediction-th3one,0.761
367,hertan-titanic-surviving-dataset-simple-expression,0.761
368,dheerajgoudborlla-exploring-survival-on-the-titanic,0.744
369,erikbruin-titanic-2nd-degree-families-and-majority-voting,0.797
370,mira5b-exploring-survival-on-the-titanic,0.744
371,jkevin2010-titanic-survival-using-decision-trees,0.758
372,harryem-titanic-comparing-two-approaches-for-missing-data,0.529
373,chuanhuiliu-one-solution-to-titanic-survival-analysis,0.761
374,dineshary-exploring-survival-on-the-titanic,0.744
375,mullayilkannan-randomforest-with-knn-imputation-titanic,0.768
376,pantelisvlachas-exploring-survival-on-the-titanic,0.744
377,djohnbar-titanic-rf,0.766
378,tessacooper-exploring-survival-on-the-titanic3,0.744
379,efezinoerome-exploring-survival-on-the-titanic,0.744
380,naveennafee-titanic-survival,0.749
381,frankfeng-titanic,0.768
382,phubert-titanic-mackenzie-aula07,0.778
383,kanhuachary-exploring-survival-on-the-titanic,0.744
384,byrony-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
385,hillabehar-titanic-analysis-with-r,0.739
386,emj777-decision-tree-titanic-r,0.751
387,foreman3-exploring-survival-on-the-titanic,0.744
388,gravc91-exploring-survival-on-the-titanic-forked,0.744
389,mattrb-titanic,0.751
390,imitation-exploring-survival-on-the-titanic,0.751
391,vikasht34-titanic-rf-prediction-0-81818,0.763
392,mac4vity-exploring-survival-on-the-titanic,0.744
393,jaredcross-simple-regression-titanic,0.744
394,jeetranjeet619-titanic-xgboost-example-in-r,0.725
395,pliptor-optimal-titanic-for-gender-only-0-7655,0.744
396,fpsawicki-eda-and-prediction-on-titanic-dataset,0.746
397,tessacooper-exploring-survival-on-the-titanic,0.744
398,ilijaf-titanic,0.763
399,johngunawan-exploring-survival-on-the-titanic,0.744
400,mrstepanovic-using-random-forests-to-identify-titanic-survivors,0.758
401,cnusapbo-titanic-r-code,0.746
402,ivanbaj-part-2-titanic-encounters-vowpal-wabbit-and-r,0.352
403,alediator-exploring-survival-on-the-titanic,0.761
404,artcds-titanic-crisansou-tutorial,0.758
405,jerlinraj-titanic-machine-learning-from-disaster,0.744
406,behindthelines-survival-on-the-titanic-with-decision-trees,0.763
407,pcminers-exploring-survival-on-the-titanic,0.744
408,aravind5-kaggle-titanic,0.751
409,anthobau-random-forest-titanic,0.737
410,maitree-titanic-survival-list-using-classification,0.746
411,jamcarwal-exploring-survival-on-the-titanic,0.744
412,devanshugupta27-predicting-the-titanic-survival-rate,0.754
413,shikharparashar-exploring-survival-on-the-titanic,0.744
414,phubert-titanic-mackenzie-aula08,0.701
415,haroldzhang-titanic-ace233,0.77
