"dir","t"
"a1112111a-neural-network-example-using-titanic-dataset","13.8995170593262"
"aabidkhursheed-titanic-day1","0.814243078231812"
"aadishchopra-titanic-by-aadish","3.62716889381409"
"aadishchopra-titanicaadish","2.69661903381348"
"aaguilar13-titanic-challenge-a-smorgasbord-of-ml-models","14.0993089675903"
"aaminnej-titanic-rf","0.956628084182739"
"abahl88-titanic-disaster-survival-analysis","1.87366414070129"
"abahl88-titanic-survival-analysis","0.0752561092376709"
"abedben-exploring-survival-on-the-titanic","26.0234701633453"
"abedben-titanic-test","0.814640998840332"
"abhayjindal-exploring-survival-on-the-titanic","25.7182919979095"
"abhinav15feb-huston-we-have-a-titanic","1.02749085426331"
"abhinavkapula-titanic-survival-prediction","1.15079402923584"
"abhinavralhan-exploring-survival-on-the-titanic","24.2514300346375"
"abhirupalodh-titanic-survival-prediction-using-r","0.687328815460205"
"abhisheek-titanic-v1-0","0.58716082572937"
"abinavramesh-titanic-analysis-no-extra-features","5.47274899482727"
"ablearcher-my-titanic","17.7939639091492"
"achristopherson-titanic-predictions","1.08285135030746"
"acrespop-titanic1","1.74575901031494"
"adambarnes-titanic-first-random-forest","1.96849679946899"
"adelmans-titanic-tutorial","0.21143102645874"
"adharshrajaram-titanic-hello-world","1.51492404937744"
"adistars-a-journey-through-titanic","0.191872119903564"
"aditinandwana-an-titanic","0.59503698348999"
"adktyakirloskar-titanicsubmmission","1.93016195297241"
"adrian1acoran-fork-of-titanic-desastre-43370d-dfb6b4","0.197000026702881"
"adrsok-titanic","1.34151911735535"
"aeintngon-titanic-exploratory-analysis","12.7652201652527"
"aer503-svm-for-titanic","0.47280216217041"
"aer503-titanic-exploring-survival-and-random-forest-test","3.24990200996399"
"agibilis-titanic-survival-prediction","2.1411030292511"
"ahoerman-titanic","0.604533910751343"
"aiuser-titanic-r-script-1","0.293461084365845"
"ajisamudra-survivor-of-titanic-prediction","0.716765880584717"
"akash110-titanic-ml-from-diaster","53.1086840629578"
"akramsayadi-exploring-survival-on-the-titanic","24.830050945282"
"alacerdan-a-journey-through-titanic","0.196923017501831"
"alaershov-titanic-r","0.610793113708496"
"alamgirm-predicting-survival-on-titanic-dataset","3.16960501670837"
"alasdairc-titanic","0.261584997177124"
"albertogonzalez-titanic-ensemble-model","2.40099596977234"
"albyedw-titanic-competition","1.30928958654404"
"alcazar90-first-incursion-to-the-titanic-disaster-and-kaggle","1.23812913894653"
"alediator-exploring-survival-on-the-titanic","0.640895128250122"
"alejandrorivas-titanic-beginners-principiantes-espa-ol","54.8925049304962"
"alexalexi-playing-with-titanic-data","3.16002297401428"
"alexandrakp-exploring-survival-on-the-titanic","24.9546051025391"
"alexandrarp-titanic-predictive-model-3-features-81-59","2.05637693405151"
"alexgomes3-titanic-with-r-datacamp-tutorial","0.729453086853027"
"alexindata-titanic-kernel-1st-run-r-caret-random-forest","1.87315583229065"
"alfonzo-exploring-survival-on-the-titanic","25.9138691425323"
"allanwbrooks-exploring-survival-on-the-titanic","25.4450800418854"
"allwin-my-first-decision-tree-titanic-preds","0.233678102493286"
"alma123-titanic","4.51978516578674"
"aloff41-titanic","0.208092927932739"
"aloktyagi1986-titanic-alok","0.67094612121582"
"alosat-titanic-eda-ctree","1.33527994155884"
"alosat-titanic-eda-plus-solution","1.26496005058289"
"alphoroz-titanic-survival","0.303469896316528"
"alwortman-titanic-test-script","1.98154592514038"
"amazzawi-titanic","1.19881892204285"
"ambalika-titanic-survival-analysis","0.601934909820557"
"amberthomas-predicting-survival-on-the-titanic","2.9247510433197"
"ambika04-titanic","0.395128011703491"
"ambika04-titanic4","0.398914813995361"
"ambikanair-exploring-survival-on-the-titanic","25.5769791603088"
"amit2312-titanic","0.457870960235596"
"amitchauhan-machine-learning-titanic-1st","0.789212942123413"
"amitjena05-titanic-data-analysis-in-r","0.0576319694519043"
"ammara-titanic-competition-script-using-rf-2","3.66900706291199"
"ammara-titanic-competition-using-boosting","3.20131397247314"
"ammara-titanic-competition-using-xgboost","1.18880200386047"
"amodi8-titanic-exploring-survival-using-machine-learning","0.756253957748413"
"amoyakd-titanic-randomforrest-v1-2","58.2196931838989"
"amrnasr-exploring-survival-on-the-titanic","0.782150983810425"
"amuthand-a-titanic-unpredicted-disaster-predicted","4.13554692268372"
"analyticsdojo-titanic-baseline-models-analyticsdojo-r","0.235374927520752"
"anandpatil20-exploring-survival-on-the-titanic","0.784259080886841"
"ananthvikram-logistic-regression-dt-rf-nb-for-titanic","0.459546089172363"
"andrecn-random-forest-caret-model-prediction-titanic","35.451544046402"
"andreistar-exploring-survival-on-the-titanic","0.199231147766113"
"andrewl67-titanic","1.84563398361206"
"andrewolney-titanic-predict-fare-lab-3","6.03361701965332"
"andreykoceruba-titanic","0.606353998184204"
"andybega-titanic","0.828729867935181"
"andyxie-explore-titanic-survival-data","0.0364120006561279"
"andyxie-titanic-data-cleaning-and-feature-engineering","0.757091999053955"
"animatorumor-titanic-data-science-solutions","0.188755989074707"
"anirbanshaw24-titanic-keras-r","0.219105958938599"
"anirudhkunte-titanic","0.254072904586792"
"anish91237-titanic-1st-attempt","0.201448917388916"
"anishmayaramka-the-titanic-datset","25.0208649635315"
"anishmayaramka-the-titanic-problem","26.8046338558197"
"ankurnepalia-predictingtitanicsurvivors","0.668752193450928"
"annafreydenzon-titanic-machine-learning-from-disaster","23.6417210102081"
"annseb-titanic-as","0.332939863204956"
"anonymous6-titanic","0.291014909744263"
"antagomir-exploring-survival-on-the-titanic","0.782285928726196"
"anthobau-random-forest-titanic","5.55764198303223"
