,names,accuracies
167,abhinavralhan-exploring-survival-on-the-titanic,0.744
168,mhamano-titanic-r-script,0.744
169,felixhalim-exploring-survival-on-the-titanic,0.744
170,nithishthirmul-titanic-data-test1,0.744
171,beovulfo-titanic-work-for-beginners,0.775
172,aeintngon-titanic-exploratory-analysis,0.751
173,qianbi-titanic-voting-2,0.754
174,anweshaghosh-titanic-forkofmultiplescripts-r,0.763
175,cdeotte-titanic-spam-filter,0.742
176,danr87946-titanic-practice,0.758
177,pliptor-optimal-titanic-for-pclass-only-0-65550,0.699
178,wongalan2002-titanic-with-neural-network,0.739
179,frank5547-my-solution-to-titanic-for-now,0.761
180,phoanghuong86-exploring-survival-on-the-titanic,0.744
181,mchatham-exploring-survival-on-the-titanic01,0.744
182,maza91-titanic-neural-network-try,0.761
183,shridhar1991-exploring-survival-on-the-titanic,0.744
184,karlkonz-exploring-the-titanic-dataset-with-r,0.761
185,atuljjoshi05-titanic-random-forest,0.756
186,ravikrishnareddy-titanic-survival-prediction,0.751
187,bwozniak-titanic-in-r,0.761
188,divy44-titanic1,0.648
189,dalilamachado-titanic-teste,0.737
190,aer503-svm-for-titanic,0.737
191,tjbaur-exploring-survival-on-the-titanic,0.746
192,qianbi-titanic-svm,0.754
193,nozzo1-my-titanic-r-entry-2,0.754
194,leedongkyu-exploring-survival-on-the-titanic,0.744
195,jasonhit-first-script-for-kaggle-titanic,0.758
196,hisnibs-titanic-enhancing-the-training-data-and-kis,0.78
197,krietallo64-exploring-survival-on-the-titanic,0.744
198,arpitr-titanic-survival,0.751
199,dataninja2014-exploring-survival-on-the-titanic,0.744
200,pradeeptripathi-prediction-of-titanic-survival-using-r,0.751
201,dasbeste-exploring-survival-on-the-titanic,0.744
202,divyasshree-titanic-ml-club,0.713
203,sylphsangeeta-titanic,0.754
204,brirush-svm-for-titanic,0.737
205,msantos68-exploring-survival-on-the-titanic,0.742
206,kasturimitra-titanic,0.758
207,cganxs-is-62-the-right-titanic-model-threshold,0.792
208,srikantjyrmn-titanic-survivor,0.746
209,joelweiss-titanic-data-r,0.734
210,jaimisk-titanic-survival-logistic-regression,0.746
211,monikapeteva-predictive-analysis-of-survival-rate-on-titanic,0.758
212,seajaye-titanic-logistic-regression-0-78947,0.763
213,researchbigd-titanic-r-researchbigd,0.758
214,somtom-titanic-random-icebergs,0.725
215,andrecn-random-forest-caret-model-prediction-titanic,0.756
216,pavani2018-titanicr-random-forests,0.751
217,dleprovost-simple-titanic-exploration,0.763
218,wtjw1993-predicting-survival-on-the-titanic,0.754
219,qianbi-titanic-voting,0.73
220,venkatko-titanic-survival1,0.744
221,daiearth22-exploring-survival-on-the-titanic,0.744
222,naomi7-survival-on-the-titanic,0.737
223,econdata-machine-learning-on-titanic-dataset,0.756
224,waithira-titanic-analysis-with-r,0.761
225,orbanjan-exploring-survival-on-the-titanic-new,0.744
226,karnakarthoorpu-titanicanalysis-r,0.648
227,lizpund-titanic-competition-kernel,0.756
228,bubblride-titanic-e1071-c-svc-fares-only,0.667
229,imendoza-titanic-rf-prediction,0.763
230,suraj915-titanic-suraj,0.761
231,benybrahim-best-titanic-benchmark,0.754
232,sherrywangjy-titanic-machine-learning-from-disaster,0.756
233,virgodata-exploring-survival-on-the-titanic,0.744
234,zhxiangxyang-titanic,0.756
235,loveautumnlan-exploratoryanalysis-prediction-titanic,0.763
236,ammara-titanic-competition-script-using-rf-2,0.749
237,mihaque313-first-submission-to-titanic-problem,0.744
238,vyordanov-titanic-disaster-logistic-regression-0-7655,0.749
239,jww001-exploring-survival-on-the-titanicqw,0.737
240,petenice-titanickernel,0.567
241,adambarnes-titanic-first-random-forest,0.77
242,skhawaja-titanic-disaster-survival-099,0.742
243,jkevin2010-improved-model-for-titanic-survival,0.754
244,athi94-a-beginner-s-stab-at-titanic,0.754
245,kronprinserik-exploring-survival-on-the-titanic,0.734
246,sandraezidiegwu-exploratoryanalysis-prediction-titanic,0.744
247,ashutoshds-titanic-rf-prediction-0-81818,0.763
248,prachimalusare-exploring-survival-on-the-titanic,0.744
249,nrutyam-predictions-on-titanic,0.758
250,neveldo-titanic-eda-predictions-attempt,0.742
251,djohnbar-the-titanic-using-knn,0.763
252,rmenendezm-exploring-survival-on-the-titanic,0.744
253,liudj2008-titanic,0.761
254,sidhere-exploring-survival-on-the-titanic,0.744
255,tsfitz-titanic,0.766
256,bluemachine-predicting-chances-of-survival-on-the-titanic,0.548
257,chemalytics-exploring-survival-on-the-titanic,0.744
258,sausen7-titanic-first-kernel,0.773
259,lokesharun-titanic,0.751
260,bdcallen-titanic-knn-r,0.763
261,vikramatjob-exploring-survival-on-the-titanic-var1,0.744
262,liwenhuang-titanic-logistic-tree-rf,0.749
263,shashank74-titanic-disaster-data-exploration-and-modelling,0.754
264,cbrioso-titanic-rf,0.773
265,hegdekarthik-titanic-prediction-beginner-level-decision-tree,0.758
266,maza91-titanic-logistic-regression,0.749
267,z888888861-exploring-survival-on-the-titanic,0.744
268,chauhanheta-exploring-survival-on-the-titanic,0.744
269,trvrmgn-exploring-survival-on-the-titanic,0.744
270,samuelh-barebones-titanic-logistic-regression-test,0.768
271,anishmayaramka-the-titanic-problem,0.744
272,rjhere23-predictive-analysis-of-survival-rate-on-titanic,0.758
273,qianbi-titanic-rpart-3,0.763
274,maitree-titanic-survival-list-using-random-forest,0.483
275,utkarsh1997-kaggle-titanic-rf,0.768
276,birudvora-test-titanic,0.744
277,windowbyryeol-kernel-titanic,0.763
278,jnrahul92-titanic-analysis-using-logistic-regression,0.751
279,srinivasarajui-srini-s-r-titanic-solution,0.758
280,vishaljindal0-titanic-r-code,0.751
281,hemantkhurana-exploring-survival-on-the-titanic,0.744
282,mailakshdeep-titanic-survival-prediction-r,0.751
283,analyticsdojo-titanic-baseline-models-analyticsdojo-r,0.648
284,jasminegoel-playing-with-titanic-dataset-r,0.732
285,sudheer464-prediction-1-on-titanic-dataset,0.648
286,giannismo-exploring-survival-on-the-titanic,0.744
287,aravind5-titanic,0.751
288,rhyando-r-embulan-titanic,0.722
289,brirush-titanic-nearest-neighbor-using-squared-correlation,0.734
290,macrosp-logistic-regression-titanic-dataset,0.737
291,hemingwei-titanic-r-solution-from-megan-risdal,0.744
292,ravihela-titanic-survival,0.758
293,haroldzhang-exploring-survival-on-the-titanic,0.749
294,mrisdal-exploring-survival-on-the-titanic,0.744
295,ep1804-titanic-survival,0.768
296,mtknowlt-exploring-survival-on-the-titanic,0.744
297,mustfkeskin-titanic-xgboost,0.749
298,parthchaudhary-titanic-submission,0.744
299,jacekpardyak-mytitanicscript,0.562
300,lucasantevere-hello-titanic,0.758
301,salomao2005-titanic-new-view,0.754
302,qianbi-titanic-logistic,0.737
303,qianbi-titanic-rpart-2,0.761
304,researchbigd-titanic-forkedfrommeganscript,0.734
305,annafreydenzon-titanic-machine-learning-from-disaster,0.756
306,rajasekara-titanic-survival-prediction,0.763
307,nibedita84-my-first-kernel-titanic-survival-rate,0.756
308,monfilier-titanic-survival-prediction,0.744
309,jenioai-exploring-survival-on-the-titanic,0.744
310,quentinalais-kerneltitanicquentin,0.749
311,sociopath00-sociopath-titanic,0.758
312,chuckivan-titanic-logit,0.742
313,gauravsatav-exploring-survival-on-the-titanic,0.744
314,ludejun-exploring-survival-on-the-titanic,0.744
315,yizhouwang-exploring-survival-on-the-titanic,0.744
316,tetyama-trial-titanic,0.744
317,harsh2-exploring-the-titanic-dataset,0.778
318,vishnusaiv-titanic-data-analysis,0.761
319,yugrao-titanic-n,0.744
320,binilkuriachan-titanic-random-forest,0.756
321,yugrao-titanic2,0.751
322,qianbi-titanic-rpart,0.761
323,rhyando-r-embulan-titanic-notebook,0.722
324,yugrao-titanic,0.751
325,dascanvas-titanic-random-forest,0.766
326,arfinul-exploring-survival-on-the-titanicc,0.744
327,lagprophet-titanic,0.758
328,seshadrikolluri-predicting-survival-on-titanic,0.746
329,arunkumarramanan-data-science-in-r-and-titanic-survival-prediction,0.744
330,beiqiwang-predictive-analysis-of-survival-rate-on-titanic,0.758
331,fermm92-exploring-survival-on-the-titanic,0.744
332,brirush-logistic-regression-for-titanic,0.754
333,swatishukla-exploring-survival-on-the-titanic,0.744
334,nefise-exploring-survival-on-the-titanic,0.744
335,juverstraeten-titanic-test-5-decision-tree-w-cabin,0.763
336,xliang-titanic-survival-prediction,0.749
337,liudj2008-fork-of-titanic,0.761
338,curtaincall-exploring-survival-on-the-titanic,0.744
339,gpellis-exploring-survival-on-the-titanic-with-r-notebook,0.744
340,waiyujack-titanic-random-search-in-r,0.744
341,tomaszw-predictive-analysis-of-survival-rate-on-titanic,0.758
342,allanwbrooks-exploring-survival-on-the-titanic,0.751
343,phubert-mackenzie-bigdata-titanic-knn,0.574
344,peggy88-titanic-data-eda-by-peggy,0.758
345,arjunrampal-titanic-eda-rf,0.742
346,tabouzid-exploring-survival-on-the-titanic,0.744
347,archeryue-exploring-survival-on-the-titanic,0.744
348,gravitymhxy2-titanic,0.763
349,rennocks-titanicmodel,0.744
350,iherbert-titanic,0.751
351,bryan1201-exploring-survival-on-the-titanic-by-bryan1201,0.744
352,chemjong-titanic-survival-prediction,0.758
353,scout16-titanic-disaster-in-r,0.744
354,rtreit-kaggle-titanic-tutorial,0.749
355,haojianfeng-titanic-passenger-survival-forecast-r,0.763
356,piyushjhamb-predicting-titanic-survival,0.737
357,xxxmatxxx-titanic-getting-started-with-randomforest,0.744
358,shridhar1991-randomforest-implementation-of-titanic,0.758
359,rafaelmdourado-hello-titanic-programmers,0.758
360,contactsheetal-exploring-survival-on-the-titanic,0.744
361,c34klh123-using-svm-to-predict-titanic-in-r,0.756
362,hongviet2002-exploring-survived-on-titanic,0.751
363,kyanyoga-exploring-survival-on-the-titanic,0.744
364,kapillehar-titanic-rf-prediction-0-81818,0.763
365,libra202ma-exploring-survival-on-the-titanic,0.744
366,kunaphas-predictive-analysis-of-survival-rate-on-titanic,0.758
367,birger-titanic-competition-score-0-8134,0.761
368,diegosiebra-rf-titanic-prediction-th3one,0.761
369,hertan-titanic-surviving-dataset-simple-expression,0.761
370,dheerajgoudborlla-exploring-survival-on-the-titanic,0.744
371,erikbruin-titanic-2nd-degree-families-and-majority-voting,0.797
372,mira5b-exploring-survival-on-the-titanic,0.744
373,jkevin2010-titanic-survival-using-decision-trees,0.758
374,harryem-titanic-comparing-two-approaches-for-missing-data,0.529
375,chuanhuiliu-one-solution-to-titanic-survival-analysis,0.761
376,dineshary-exploring-survival-on-the-titanic,0.744
377,mullayilkannan-randomforest-with-knn-imputation-titanic,0.768
378,pantelisvlachas-exploring-survival-on-the-titanic,0.744
379,djohnbar-titanic-rf,0.766
380,tessacooper-exploring-survival-on-the-titanic3,0.744
381,efezinoerome-exploring-survival-on-the-titanic,0.744
382,naveennafee-titanic-survival,0.744
383,frankfeng-titanic,0.768
384,phubert-titanic-mackenzie-aula07,0.778
385,kanhuachary-exploring-survival-on-the-titanic,0.744
386,byrony-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
387,hillabehar-titanic-analysis-with-r,0.77
388,emj777-decision-tree-titanic-r,0.751
389,foreman3-exploring-survival-on-the-titanic,0.744
390,gravc91-exploring-survival-on-the-titanic-forked,0.744
391,mattrb-titanic,0.751
392,imitation-exploring-survival-on-the-titanic,0.751
393,vikasht34-titanic-rf-prediction-0-81818,0.763
394,mac4vity-exploring-survival-on-the-titanic,0.744
395,jaredcross-simple-regression-titanic,0.744
396,jeetranjeet619-titanic-xgboost-example-in-r,0.725
397,pliptor-optimal-titanic-for-gender-only-0-7655,0.744
398,fpsawicki-eda-and-prediction-on-titanic-dataset,0.746
399,tessacooper-exploring-survival-on-the-titanic,0.744
400,ilijaf-titanic,0.763
401,johngunawan-exploring-survival-on-the-titanic,0.744
402,mrstepanovic-using-random-forests-to-identify-titanic-survivors,0.758
403,cnusapbo-titanic-r-code,0.746
404,ivanbaj-part-2-titanic-encounters-vowpal-wabbit-and-r,0.352
405,alediator-exploring-survival-on-the-titanic,0.761
406,artcds-titanic-crisansou-tutorial,0.737
407,jerlinraj-titanic-machine-learning-from-disaster,0.744
408,behindthelines-survival-on-the-titanic-with-decision-trees,0.763
409,pcminers-exploring-survival-on-the-titanic,0.744
410,aravind5-kaggle-titanic,0.751
411,anthobau-random-forest-titanic,0.737
412,maitree-titanic-survival-list-using-classification,0.746
413,jamcarwal-exploring-survival-on-the-titanic,0.744
414,devanshugupta27-predicting-the-titanic-survival-rate,0.754
415,shikharparashar-exploring-survival-on-the-titanic,0.744
416,phubert-titanic-mackenzie-aula08,0.684
417,haroldzhang-titanic-ace233,0.77
